lang,langFamily,silCode,walsCode,logpop2,roundComp
Poko-Rawo,Sko,RWA,pok,2.80618,-9
Tigak,Austronesian,TGC,tgk,3.77815,-11
Sko,Sko,SKV,sko,2.8451,-6
Dumu,Sko,VAM,dum,3.42602,-4
Sentani,Sentani,SET,snt,4.47712,-12
Tobati,Austronesian,TTI,tbt,2.54407,0
Tungak,Austronesian,LCM,tnk,4.07918,-10
Jivaro,Jivaroan,JIV,jiv,4.66903,-3
Bauzi,East Geelvink Bay,PAU,bzi,3.17609,0
Nimboran,Nimboran,NIR,nim,3.30103,-7
Tabla,Sentani,TNM,tbl,3.57403,0
Resígaro,Arawakan,RGR,res,1.69897,-3
Huitoto (Muinane),Huitotoan,HUX,hmu,2,0
Lou,Austronesian,LOJ,lou,3,-7
Urubu-Kaapor,Tupian,URB,urk,2.69897,-4
Bora,Huitotoan,BOA,bor,3.45148,0
Arandai,Marind,JBJ,ard,3,0
Kele,Austronesian,SBC,kel,2.77815,-4
Loniu,Austronesian,LOS,lon,2.66276,-7
Ntomba,Niger-Congo,NTO,nto,5,0
Kinyarwanda,Niger-Congo,RUA,kin,6.86185,-8
Ma'anyan,Austronesian,MHY,myn,5.17609,-6
Sobei,Austronesian,SOB,sob,3,0
Sengele,Niger-Congo,SZG,sgl,4.23045,0
Uma,Austronesian,PPK,uma,4.30103,-4
Ambai,Austronesian,AMK,amq,4.0023,-3
Yawa,Yawa,YVA,yaw,3.77815,-5
Ndumu,Niger-Congo,NMD,ndu,3.63397,-7
Warembori,Lower Mamberamo,WSA,wrm,2.77815,-6
Tsogo,Niger-Congo,TSV,tgo,4.07918,-5
Sangu,Niger-Congo,SNQ,sgu,4.32037,0
Kamba,Niger-Congo,KIK,kba,6.38886,-3
Mentawai,Austronesian,MWV,mnt,4.69897,0
Mussau,Austronesian,EMI,mus,3.69897,-10
Bobangi,Niger-Congo,BNI,bob,5.07464,0
Maybrat,West Papuan,AYZ,may,4.30103,-10
Mpongwe,Niger-Congo,dMYE,mpo,4.66972,0
Bolia,Niger-Congo,BLI,bol,5,0
Nyanga,Niger-Congo,NYA,nng,5.17609,0
Meyah,East Bird's Head,MEJ,mea,4.16976,-3
Waorani,Waorani,AUC,wao,3.21748,-5
Nadëb,Vaupés-Japurá,MBJ,nad,2.47712,-4
Hixkaryana,Cariban,HIX,hix,2.77815,-6
Minangkabau,Austronesian,MPU,min,6.81291,-16
Hatam,West Papuan,HAD,hat,4.20412,-6
Nkore-Kiga,Niger-Congo,CHG,nko,6.14347,-7
Kikuyu,Niger-Congo,KIU,kik,6.72811,-2
Andoke,Andoke,ANO,adk,2.79169,0
Mbole,Niger-Congo,MDQ,mbl,5,0
Retuarã,Tucanoan,TNC,ret,2.47712,-2
Mbere,Niger-Congo,MDT,mbe,5.02482,0
Runyankore,Niger-Congo,NYN,rny,6.21569,-3
Luo,Nilo-Saharan,LUO,luo,6.5397,-6
Abun,West Papuan,KGR,abu,3.47712,-16
Secoya,Tucanoan,SEY,sec,2.63749,0
Huitoto (Minica),Huitotoan,HTO,hmi,3.23172,-2
Dâw,Vaupés-Japurá,KWA,daw,1.91908,0
Barasano,Tucanoan,BSN,brs,2.54407,-7
Nande,Niger-Congo,NNB,nde,5.95569,0
Apalaí,Cariban,APA,apl,2.65321,-7
Mongo,Niger-Congo,MOM,mgo,5.60206,-8
Indonesian,Austronesian,INZ,ind,7.36443,-10
Taba,Austronesian,MKY,tab,4.30103,-11
Angolar,Creoles and Pidgins,AOA,ago,3.69897,0
Nandi,Nilo-Saharan,dKLN,nan,6.3906,-5
Quechua (Imbabura),Quechuan,QHO,qim,5.47712,-7
Talinga,Niger-Congo,TLJ,tal,4.92612,0
Tucano,Tucanoan,TUO,tuc,3.66567,-4
Luganda,Niger-Congo,LAP,lda,6.47943,-2
West Makian,West Papuan,MQS,wma,4.07918,-3
Cayapa,Barbacoan,CBI,cay,3.53782,-4
Nubi,Creoles and Pidgins,KCN,nub,4.39338,0
Bukusu,Niger-Congo,BUL,buk,5.75205,0
Tidore,West Papuan,TVO,tid,4.41497,-7
Desano,Tucanoan,DES,des,3.24551,0
Koreguaje,Tucanoan,COE,kje,3.30103,0
Tariana,Arawakan,TAE,tar,2,-2
Wai Wai,Cariban,WAW,wai,3.30103,0
Bira,Niger-Congo,BRF/BIP,bia,5.07918,0
Nias,Austronesian,NIP,nia,5.68124,-5
Buli (in Indonesia),Austronesian,BZQ,bui,3.40209,-8
Babole,Niger-Congo,BVX,bbl,3.60206,0
Toratán,Austronesian,RTH,tor,4.47712,-4
Benga,Niger-Congo,BEN,bga,3.47712,0
Sahu,West Papuan,SUX,sah,3.87506,-8
Tondano,Austronesian,TDN,tno,4.90309,-6
Cubeo,Tucanoan,CUB,cub,3.78888,-5
Ngiti,Nilo-Saharan,NIY,nti,5,-6
Sebei,Nilo-Saharan,KPZ,seb,5.07918,0
Kiribati,Austronesian,GLB,krb,4.83117,-10
Awa Pit,Barbacoan,KWI,awp,4.32222,-8
Warekena,Arawakan,GAE,wrk,2.84819,-5
Runyoro-Rutooro,Niger-Congo,NYR,rru,5.69499,0
Manadonese,Austronesian,XMM,mds,5.92942,0
Tobelo,West Papuan,TLB,tlo,4.44279,-3
Lebeo,Niger-Congo,AGH,leb,4.13316,0
Teso,Nilo-Saharan,TEO,tes,6.10671,-3
Lingala,Niger-Congo,LIN,lin,6.33025,-8
Rendille,Afro-Asiatic,REL,ren,4.50515,-4
Iban,Austronesian,IBA,iba,5.61805,-14
Lango,Nilo-Saharan,LAJ,lan,5.9902,-7
Galela,West Papuan,GBI,gll,4.89763,-6
Simeulue,Austronesian,SMR,sim,5,0
Batak (Toba),Austronesian,BBC,bto,6.30103,-7
Baka (in Cameroon),Niger-Congo,BKC,bak,4.45025,-4
Páez,Páezan,PBB,pae,4.8537,-3
Baniwa,Arawakan,BAI,bnw,3.77034,0
Epena Pedee,Choco,SJA,epe,3.9058,-7
Palikur,Arawakan,PAL,plk,3.11394,-6
Doko,Niger-Congo,dNGC,dok,5.17609,0
Karimojong,Nilo-Saharan,KDJ,kmj,5.5682,-3
Turkana,Nilo-Saharan,TUV,tna,5.56249,-4
Somali,Afro-Asiatic,SOM,som,7.10221,-6
Semelai,Austro-Asiatic,SZA,sml,3.46716,-10
Lugbara,Nilo-Saharan,LUG,lug,6.01703,-5
Wayana,Cariban,WAY,wyn,2.87332,-6
Ma'di,Nilo-Saharan,MHI,mad,5.1719,-8
Batak (Karo),Austronesian,BTX,bkr,5.77815,-8
Makaa,Niger-Congo,MCP,mkz,4.90309,0
Shiriana,Yanomam,SHB,shi,2.75282,-4
Ngbaka,Niger-Congo,NGA,ngb,6.0081,0
Ma,Niger-Congo,MSJ,ma,3.6721,-4
Logoti,Nilo-Saharan,LOG,lgt,5.32222,0
Basaá,Niger-Congo,BAA,bas,5.36173,0
Macushi,Cariban,MBC,mac,4.39094,-6
Duala,Niger-Congo,DOU,dua,4.943,0
Ewondo,Niger-Congo,EWO,ewo,5.7617,-3
Zande,Niger-Congo,ZAN,zan,6.05767,-3
Bakueri,Niger-Congo,BRI,bku,4.50786,0
Bagiro,Nilo-Saharan,FUU,bgr,4.20412,-6
Bankon,Niger-Congo,ABB,bnk,4.07918,0
Yakoma,Niger-Congo,YKY,ykm,5.04139,-6
Tennet,Nilo-Saharan,TEX,ten,3.60206,-6
Sanuma,Yanomam,SAM,snm,3.70535,-14
Saramaccan,Creoles and Pidgins,SRM,srm,4.41497,-10
Mbodomo,Niger-Congo,dMDO,mdo,5.24797,0
Didinga,Nilo-Saharan,DID,did,5,-7
Gokana,Niger-Congo,GKN,gok,5,-6
Obolo,Niger-Congo,ANN,obo,5.30103,-8
Tuki,Niger-Congo,BAG,tki,4.41497,0
Avokaya,Nilo-Saharan,AVU,avo,4.81291,-3
Dhaasanac,Afro-Asiatic,DSH,dha,4.53862,0
Klao,Niger-Congo,KLU,kla,5.2833,0
Degema,Niger-Congo,DEG,deg,4,0
Ogbronuagum,Niger-Congo,OGU,obg,4.07918,-3
Tunen,Niger-Congo,BAZ,tnn,4.54777,-3
Moru,Nilo-Saharan,MGD,mou,4.8451,-3
Bakundu,Niger-Congo,BDU,bkn,5.02524,0
Baka (in Sudan),Nilo-Saharan,BDH,bka,4.41996,-4
Ijo (Kolokuma),Niger-Congo,IJC,ijo,6,-5
Efik,Niger-Congo,EFK,efi,5.60206,0
Embera Chami,Choco,CMI,emc,4.04139,0
Piaroa,Sáliban,PID,pia,4.08207,-3
Ndyuka,Creoles and Pidgins,DJK,ndy,4.34506,-16
Grebo,Niger-Congo,GRY/ ...,grb,4.37475,-11
Bafia,Niger-Congo,KSF,bfi,4.77815,-5
Sango,Niger-Congo,SAJ,san,5.60638,-11
Bari,Nilo-Saharan,BFA,bar,5.68124,-8
Päri,Nilo-Saharan,LKR,par,4.44716,-3
Hamer,Afro-Asiatic,AMF,hmr,4.63183,-10
Timugon,Austronesian,TIH,tim,4.08271,-7
Engenni,Niger-Congo,ENN,egn,4.30103,-10
Kosraean,Austronesian,KSI,kos,3.90309,-2
Pemon,Cariban,AOC,pem,3.78916,-6
Berbice Dutch Creole,Creoles and Pidgins,BRC,bdc,1.69897,0
Sonsorol-Tobi,Austronesian,SOV,son,2.77815,-7
Adioukrou,Niger-Congo,ADJ,adi,5,-3
Carib,Cariban,CRB,car,4.00971,-5
Arawak,Arawakan,ARW,ara,3.38917,-2
Birri,Nilo-Saharan,BVQ,brz,2.30103,0
Acehnese,Austronesian,ATJ,ace,6.47712,-13
Gã,Niger-Congo,GAC,ga,5.77815,-4
Isekiri,Niger-Congo,ITS,ise,5.70757,-8
Kenyang,Niger-Congo,KEN,kyg,4.81291,0
Mundani,Niger-Congo,MUN,mud,4.53148,0
Tikar,Niger-Congo,TIK,tik,4.39794,-6
Kadazan,Austronesian,KZJ/...,kdz,4.77815,0
Sáliba (in Colombia),Sáliban,SLC,sba,3.19173,-5
Igbo,Niger-Congo,IGR,igb,7.25527,-14
Gbaya Kara,Niger-Congo,GYA,gbk,5.42651,-8
Jur Mödö,Nilo-Saharan,BEX,jmo,5,-6
Aari,Afro-Asiatic,AIZ,aar,5.20101,-6
Maale,Afro-Asiatic,MDY,mle,4.73061,0
Babungo,Niger-Congo,BAV,bab,4.13033,-8
Dime,Afro-Asiatic,DIM,dim,3.81298,-3
Dizi,Afro-Asiatic,MDX,diz,4.32377,-4
Tboli,Austronesian,TBL,tbo,4.9792,-3
Bété,Niger-Congo,BEV/...,bet,5.11394,-6
Bafut,Niger-Congo,BFD,baf,4.69897,0
Ewe,Niger-Congo,EWE,ewe,6.4931,-10
Izi,Niger-Congo,dIZI,izi,5.77305,-6
Bini,Niger-Congo,EDO,bni,6,-10
Noni,Niger-Congo,NHU,non,4.39794,-6
Akan,Niger-Congo,TWS,akn,6.91908,-3
Linda,Niger-Congo,dLIY,lnd,5.26245,-14
Murle,Nilo-Saharan,MUR,mrl,4.7796,-9
Nkem,Niger-Congo,dISI,nke,4.53782,0
Gbeya Bossangoa,Niger-Congo,GBP,gbb,5.24551,-5
Gamo,Afro-Asiatic,dGMO,gam,6.09224,0
Mokilese,Austronesian,MNO,mok,3.02119,-8
Tunebo,Chibchan,TND/...,tnb,1.69897,-6
Majang,Nilo-Saharan,MPE,maj,4.18585,-4
Wolaytta,Afro-Asiatic,WBC,wly,6.0905,-4
Pohnpeian,Austronesian,PNF,poh,4.4624,-7
Vai,Niger-Congo,VAI,vai,5.02119,-9
Idoma,Niger-Congo,IDO,ido,5.77815,-7
Jukun,Niger-Congo,JBU,juk,3.38703,-11
Kpelle,Niger-Congo,KPE,kpe,5.68789,-9
Mano,Niger-Congo,MEV,man,5.40828,-12
Baule,Niger-Congo,BCI,ble,6.32838,0
Anyi,Niger-Congo,ANY,ayi,5.9345,0
Igede,Niger-Congo,IGE,ige,5.39794,0
Koegu,Nilo-Saharan,YID,koe,2.01284,-6
Sinhala,Indo-European,SNH,snh,7.12124,0
Marshallese,Austronesian,MZM,msh,4.64246,0
Nkonya,Niger-Congo,NKO,nkn,4.44716,-3
Lelemi,Niger-Congo,LEF,llm,4.68931,-4
Woleaian,Austronesian,WOE,wol,3.21245,-11
Puluwat,Austronesian,PUW,pul,3.13481,-4
Dan,Niger-Congo,DAF,dan,5.97845,-4
Kposo,Niger-Congo,KPO,kpo,5.21085,0
Palauan,Austronesian,PLU,pal,4.17099,-9
Shabo,Nilo-Saharan,SBF,shb,2.60206,-5
Manobo (Western Bukidnon),Austronesian,MBB,mwb,4.27953,-8
Mbum,Niger-Congo,MDD,mbm,4.70842,-11
Ndogo,Niger-Congo,NDZ,ndg,4.36816,0
Mende,Niger-Congo,MFY,mde,6.17017,-6
Loma,Niger-Congo,LOM,lma,5.15168,0
Yoruba,Niger-Congo,YOR,yor,7.28616,-16
Koh (Lakka),Niger-Congo,KHO,klk,4.17035,-10
Jur Luwo,Nilo-Saharan,LWO,jlu,4.90309,0
Anywa,Nilo-Saharan,ANU,any,4.98965,-3
Urak Lawoi',Austronesian,URK,url,3.47712,-13
Nancowry,Austro-Asiatic,dNCB,nnc,3.34242,-5
Bandi,Niger-Congo,GBA,bnd,5.02938,0
Ebira,Niger-Congo,IGB,ebi,6,0
Fula (Nigerian),Niger-Congo,FUV,fni,6.23247,-4
Mauka,Niger-Congo,MXX,mka,5.22814,-11
Samba Leko,Niger-Congo,NDI,sle,4.79253,-5
Kresh,Nilo-Saharan,KRS,kre,4.20412,-6
Dinka,Nilo-Saharan,DIP/...,din,5.50515,-6
Soddo,Afro-Asiatic,GRU,sod,5.406,0
Ngäbere,Chibchan,GYM,nbr,5.12415,-8
Temne,Niger-Congo,TEJ,tne,6.07918,-4
Tem,Niger-Congo,KDH,tem,5.48728,-4
Goemai,Afro-Asiatic,ANK,goe,5.30103,-9
Doyayo,Niger-Congo,DOW,doy,4.25527,-2
Ngambay,Nilo-Saharan,SBA,ngm,5.87506,-4
Day,Niger-Congo,DAI,day,4.69824,-10
Komo,Nilo-Saharan,KOM,kom,4.0607,-6
Kisi,Niger-Congo,KSS/ KQS,kis,5.51388,-11
Ron,Afro-Asiatic,CLA,ron,5.0607,-5
Mumuye,Niger-Congo,MUL,mum,5.60206,-14
Oromo (Harar),Afro-Asiatic,HAE,orh,6.65571,-11
Nicobarese (Car),Austro-Asiatic,CAQ,nca,4.47712,-13
Lele,Afro-Asiatic,LLN,lel,4.41497,-5
Nupe,Niger-Congo,NUP,nup,5.90309,-10
Teribe,Chibchan,TFR,trb,3.47784,-5
Warao,Warao,WBA,wra,4.25527,-7
Loko,Niger-Congo,LOK,lok,5.0607,0
Bribri,Chibchan,BZD,bri,4.04139,-8
Vagla,Niger-Congo,VAG,vag,4.13033,-6
Mamanwa,Austronesian,MMN,mmn,3.71198,-8
Gwari,Niger-Congo,GBR/GBY,gwa,5.8451,-11
Mupun,Afro-Asiatic,SUR,mup,5.46982,-12
Angas,Afro-Asiatic,ANC,anc,5.60206,-9
Jarawa (in Nigeria),Niger-Congo,JAR,jar,5.17609,-3
Gula (in Central African Republic),Nilo-Saharan,GLU,gul,4.01077,-11
Dagbani,Niger-Congo,DAG,dgb,5.90309,-3
Fyem,Niger-Congo,PYM,fye,3.47712,-3
Pero,Afro-Asiatic,PIP,per,4.39794,-3
Yapese,Austronesian,YPS,yap,3.81902,-8
Kabiyé,Niger-Congo,KBP,kby,5.86332,0
Busa,Niger-Congo,BQP,bus,4.30103,-4
Birom,Niger-Congo,BOM,bir,5.47712,-9
Mundang,Niger-Congo,MUA,mdg,5.31298,-9
Shilluk,Nilo-Saharan,SHK,shl,5.24304,-5
Tangale,Afro-Asiatic,TAN,tan,5.11394,0
Kera,Afro-Asiatic,KER,ker,4.70349,-12
Susu,Niger-Congo,SUD,sus,6.01258,-8
Kanakuru,Afro-Asiatic,KNA,knk,4.30103,-2
Laal,Laal,GDM,laa,2.87448,-3
Amharic,Afro-Asiatic,AMH,amh,7.241,-4
Malayalam,Dravidian,MJS,mym,7.55336,-8
Cebuano,Austronesian,CEB,ceb,7.30197,-8
Anufo,Niger-Congo,CKO,anu,5.13862,-6
Akwa,Niger-Congo,dPON,awk,4.47712,-10
Kirma,Niger-Congo,GOT,kir,4.80003,-8
Hiligaynon,Austronesian,HIL,hil,6.8451,-5
Ga'anda,Afro-Asiatic,GAA,gnd,4.63347,0
Kilba,Afro-Asiatic,KIR,klb,5.24304,0
Runga,Nilo-Saharan,ROU,run,4.63326,-3
Kwami,Afro-Asiatic,KSQ,kwm,4,0
Gude,Afro-Asiatic,GDE,gud,4.98227,-5
Lobi,Niger-Congo,LOB,lob,5.64473,0
Dagaare,Niger-Congo,DGA/...,dga,5.8451,-7
Bimoba,Niger-Congo,BIM,bmb,5.07918,-4
Nateni,Niger-Congo,NTM,ntn,4.81954,0
Mofu-Gudur,Afro-Asiatic,MIF,mof,4.77815,-10
Krongo,Kadugli,KGO,kro,4.33622,-11
Vietnamese,Austro-Asiatic,VIE,vie,7.82891,-16
Ika,Chibchan,ARH,ika,4.15537,-8
Onge,Andamanese,OON,ong,1.98227,-8
Chrau,Austro-Asiatic,CHR,chr,4.35347,-18
Mada (in Cameroon),Afro-Asiatic,MXU,mda,4.23045,-5
Musgu,Afro-Asiatic,MUG,mgu,4.93403,-3
Awngi,Afro-Asiatic,AWN,awn,5.55264,-4
Miya,Afro-Asiatic,MKF,miy,4.47712,-5
Uldeme,Afro-Asiatic,UDL,uld,4.02119,-6
Damana,Chibchan,MBP,dam,3.50853,-5
Seme,Niger-Congo,SIF,sme,4.60206,0
Toussian,Niger-Congo,TSP/ WIB,tou,4.29003,-4
Margi,Afro-Asiatic,MAR,mrg,5.13033,-2
Kadugli,Kadugli,dKAT,kad,4.91116,-4
Moro,Niger-Congo,MOR,mro,4.47712,-8
Tamil,Dravidian,TCV,tml,7.81968,-2
Duka,Niger-Congo,DUD,duk,4.86332,-4
Lamang,Afro-Asiatic,HIA,lmg,4.60206,-3
Supyire,Niger-Congo,SPP,sup,5.5611,-11
Sre,Austro-Asiatic,dKPM,sre,5.10966,-4
Bagirmi,Nilo-Saharan,BMI,bag,4.6509,-8
Rama,Chibchan,RMA,ram,1.69897,-7
Stieng,Austro-Asiatic,STT/ STI,sti,3.7824,-13
Ko (Winye),Niger-Congo,KST,kow,4.30103,0
Hdi,Afro-Asiatic,TUR,hdi,4.4624,0
Mokilko,Afro-Asiatic,MOZ,mko,4.07918,0
Hausa,Afro-Asiatic,HUA,hau,7.38313,-10
Kanuri,Nilo-Saharan,KPH/ ...,knr,6.53468,-7
Kenga,Nilo-Saharan,KYQ,ken,4.60206,-3
Qafar,Afro-Asiatic,AFR,qaf,6.15817,-10
Jarawa (in Andamans),Andamanese,ANQ,jrw,2.47712,0
Great Andamanese,Andamanese,APQ/ ...,gan,1.69897,0
Cham (Western),Austronesian,CJA,chw,5.40329,0
Ngizim,Afro-Asiatic,NGI,ngz,4.90309,-3
Migama,Afro-Asiatic,MMY,mig,4.30103,0
Nyimang,Nilo-Saharan,NYI,nyi,4.8451,-4
Orig,Niger-Congo,dRAS,ori,4.55313,0
Kodava,Dravidian,KFA,kod,5.08636,0
Papiamentu,Creoles and Pidgins,PAE,pap,5.50433,0
Balanta,Niger-Congo,BJY/BLE,blz,5.59439,-5
Sila,Nilo-Saharan,DAU,sil,4.79991,0
Bambara,Niger-Congo,BRA,bam,6.44504,-11
Khmer,Austro-Asiatic,KMR,khm,7.12309,-18
Tulu,Dravidian,TCY,tul,6.28981,-4
Mooré,Niger-Congo,MHM,moo,6.70215,-4
Bade,Afro-Asiatic,BDE,bad,5.39794,0
Diola-Fogny,Niger-Congo,DYO,dio,5.55422,-11
Maninka (Western),Niger-Congo,MLQ,maw,5.69484,0
Karen (Pwo),Sino-Tibetan,KJP/PWO,kpw,6.02119,0
Bikol,Austronesian,BKL/ ...,bkl,6.39794,-10
Mandinka (Gambian),Niger-Congo,dMNK,mkg,6.08434,0
Chamorro,Austronesian,CJD,cha,4.88482,-7
Fur,Nilo-Saharan,FUR,fur,5.70053,-8
Maba,Nilo-Saharan,MDE,mab,5.39794,-7
Pipil,Uto-Aztecan,PPL,pip,1.69897,-6
Zarma,Nilo-Saharan,DJE,zar,6.34013,-5
Arabic (Abbéché Chad),Afro-Asiatic,dSHU,abb,5.99396,0
Miskito,Misumalpan,MIQ,mis,5.2634,-7
Kannada,Dravidian,KJV,knd,7.54834,-9
Brao,Austro-Asiatic,BRB,bra,4.26586,0
Koromfe,Niger-Congo,KFZ,kfe,5.29248,-9
Cakchiquel,Mayan,CKF/ ...,cak,4.63347,-6
Tama,Nilo-Saharan,TMA,tma,4.79886,-4
Kunama,Nilo-Saharan,KUM,knm,5.03696,-6
Tigrinya,Afro-Asiatic,TGN,tig,6.64835,-7
Tzutujil,Mayan,TZJ/TZT,tzu,4.69897,-6
Tol,Tol,JIC,tol,2.54407,-5
Chortí,Mayan,CAA,coi,4.47727,0
Noon,Niger-Congo,SNF,noo,4.47458,-2
Mon,Austro-Asiatic,MNW,mon,5.92969,-17
Sedang,Austro-Asiatic,SED,sed,5.00618,-11
Ndut,Niger-Congo,NDV,ndt,4.54407,-4
Mam,Mayan,MVC/...,mam,5,-5
Pech,Chibchan,PAY,pec,2.99739,-5
Soninke,Niger-Congo,SNN,snn,6.04013,-7
Tagalog,Austronesian,TGL,tag,7.2014,-8
Sapuan,Austro-Asiatic,SPU,sap,3.38021,-5
Wolof,Niger-Congo,WOL,wlf,6.55782,-11
Konkani,Indo-European,KNK,kkn,6.60206,0
Kapampangan,Austronesian,PMP,kpm,6.27815,-8
Ixil,Mayan,IXI/ IXL,ixi,4.54407,0
Jakaltek,Mayan,JAC/ JAI,jak,4.94448,-5
Garífuna,Arawakan,CAB,grf,5.28324,-3
Bilin,Afro-Asiatic,BYN,bln,4.8451,-3
Kanjobal (Western),Mayan,KNJ,kwe,4.7679,0
Chuj,Mayan,CNM/ CAC,chj,4.5001,0
Pangasinan,Austronesian,PNG,pnn,6.06617,-8
Koyraboro Senni,Nilo-Saharan,SON,kse,5.60206,-11
Tubu,Nilo-Saharan,DAK/TUQ,tbu,5.49455,-6
Arabic (San'ani),Afro-Asiatic,AYN,ars,6.88081,0
Telugu,Dravidian,TCW,tel,7.84316,-10
Thai,Tai-Kadai,THJ,tha,7.306,-17
Huave (San Mateo del Mar),Huavean,HUV,hve,4.07918,-3
Mixtec (Jamiltepec),Oto-Manguean,MXT,mja,4,0
Chatino (Yaitepec),Oto-Manguean,dCTP,cya,4.07918,-8
Mixtec (Jicaltepec),Oto-Manguean,MIO,mxj,4.30103,-3
Zapotec (Isthmus),Oto-Manguean,ZAI,zai,4.92942,-3
Tojolabal,Mayan,TOJ,toj,4.5563,-4
Fula (Mauritanian),Niger-Congo,dFUC,fma,6.51108,0
Tigré,Afro-Asiatic,TIE,tgr,5.90309,-8
Mopan,Mayan,MOP,mop,4.0404,-8
Zoque (Chimalapa),Mixe-Zoque,ZOH,zch,3.65321,-4
Zapotec (San Lucas Quiaviní),Oto-Manguean,dZAB,zsq,4.45484,0
Mixtec (Ayutla),Oto-Manguean,MIY,mxt,3.92942,-6
Mixtec (Yosondúa),Oto-Manguean,MPM,mxy,3.69897,-8
Mixe (Coatlán),Mixe-Zoque,MCO,mco,3.69897,-4
Zoque (Copainalá),Mixe-Zoque,ZOC,zqc,4,-4
Itzaj,Mayan,ITZ,itz,1.69897,0
Koyra Chiini,Nilo-Saharan,KHQ,kch,5.30103,-16
Lamani,Indo-European,LMN,lmn,6.45743,-6
Mixtec (Chalcatongo),Oto-Manguean,dMIG,mxc,4.15996,-8
Tlapanec,Subtiaba-Tlapanec,TPX/...,tlp,4.51851,-6
Mixtec (Peñoles),Oto-Manguean,MIL,mxp,4.12766,-6
Mixe (Tlahuitoltepec),Mixe-Zoque,MXP,mth,3.69897,0
Bontok,Austronesian,BNC,btk,4.60206,-3
Trique (Copala),Oto-Manguean,TRC,tri,4.17609,-8
Mixtec (Ocotepec),Oto-Manguean,MIE,mxo,3.69897,-6
Balangao,Austronesian,BLW,blg,4.32779,0
Zapotec (Yatzachi),Oto-Manguean,ZAV,zya,3.39794,-4
Chinantec (Lealao),Oto-Manguean,CLE,cle,3.30103,-9
