lang,langFamily,silCode,walsCode,logpop2,roundComp
Zenaga,Afro-Asiatic,ZEN,zen,2.30103,0
Mixtec (Silacayoapan),Oto-Manguean,MKS,mxs,4.27224,0
Chinantec (Quiotepec),Oto-Manguean,CHQ,chq,3.90309,-4
Chinantec (Comaltepec),Oto-Manguean,CCO,ccm,3.30103,-5
Mazatec (Chiquihuitlán),Oto-Manguean,MAQ,mzc,3.39794,0
Chinantec (Tepetotutla),Oto-Manguean,CNT,cte,3.30103,0
Sayultec,Mixe-Zoque,POS,say,3.60206,-6
Agta (Central),Austronesian,AGT,agc,2.89154,-6
Beja,Afro-Asiatic,BEI,bej,6.07115,-4
Remo,Austro-Asiatic,BFW,rem,3.95424,-5
Karen (Sgaw),Sino-Tibetan,KSW,ksg,6.19995,-13
Lao,Tai-Kadai,NOL,lao,6.5036,-13
Mixtec (Coatzospan),Oto-Manguean,MIZ,mxz,3.69897,-6
Popoloca (San Juan Atzingo),Oto-Manguean,POE,psj,3.69897,-5
Jamaican Creole,Creoles and Pidgins,dJAM,jcr,6.50259,0
Nahuatl (Mecayapan Isthmus),Uto-Aztecan,NAU,nmi,4.30103,0
Nubian (Dongolese),Nilo-Saharan,dKNC,nbd,5.44716,-6
Zoque (Soteapan),Mixe-Zoque,POI,zqs,4.47712,-4
Mlabri (Minor),Austro-Asiatic,dMRA,mlm,2.51055,-10
Chinantec (Palantla),Oto-Manguean,CPA,cpl,4.07918,-5
Marathi,Indo-European,MRT,mhi,7.83283,-7
Gondi,Dravidian,GON/ GGO,gon,6.29092,-6
Gadaba,Austro-Asiatic,GBJ/...,gdb,3.90309,0
Kayah Li (Eastern),Sino-Tibetan,EKY,kyl,5.55657,-14
Otomí (Ixtenco),Oto-Manguean,OTA,oix,2.86688,0
Purépecha,Tarascan,TSZ,pur,5.07918,-6
Karen (Bwe),Sino-Tibetan,BWE,kbw,4.1959,-6
Hawaiian,Austronesian,HWI,haw,3,-11
Nahuatl (Tetelcingo),Uto-Aztecan,NHG,nht,3.54407,-5
Bisu,Sino-Tibetan,BII,biu,3.47712,0
Totonac (Misantla),Totonacan,TLC,tot,2.69897,-8
Yucatec,Mayan,YUA,yct,5.8451,-4
Kolami,Dravidian,KFB/ NIT,kol,4.69897,-9
Kui (in India),Dravidian,KXU,kui,5.85552,-8
Sora,Austro-Asiatic,SRB,sor,5.45939,0
Lahu,Sino-Tibetan,LAH,lah,5.76131,-13
Otomí (Mezquital),Oto-Manguean,OTE,otm,5,-7
Totonac (Xicotepec de Juárez),Totonacan,TOO,txj,3.47712,-11
Tepehua,Totonacan,TEE/...,tep,3.47712,-3
Nobiin,Nilo-Saharan,FIA,nob,5.69461,0
Burmese,Sino-Tibetan,BMS,brm,7.50922,-13
Khmu',Austro-Asiatic,KJG,kmu,5.68101,-17
Chichimeca-Jonaz,Oto-Manguean,PEI,cjo,2.30103,-6
Akha,Sino-Tibetan,AKA,akh,5.6525,-4
Nung (in Vietnam),Tai-Kadai,NUT,nun,5.93268,-15
Pame,Oto-Manguean,PBS/...,pam,3.63849,0
Nahuatl (Huasteca),Uto-Aztecan,NAI/ NHW,nhh,5.61278,-3
Huastec,Mayan,HAU/ ...,htc,3.24279,-9
Cora,Uto-Aztecan,COR,cor,3.90309,-3
Korku,Austro-Asiatic,KFQ,kku,5.67943,0
Bawm,Sino-Tibetan,BGR,baw,4.13966,-14
Paiwan,Austronesian,PWN,pai,4.8201,-8
Lai,Sino-Tibetan,CNH,lai,5.64959,-15
Palaung,Austro-Asiatic,PCE/ RBB/...,plg,5.42739,-8
Rukai,Austronesian,DRU,ruk,4.02296,-2
Tuareg (Ahaggar),Afro-Asiatic,THV,tug,4.79239,-4
Gujarati,Indo-European,GJR,guj,7.66376,-6
Mundari,Austro-Asiatic,MUW,mun,6.31696,-7
Chin (Mara),Sino-Tibetan,MRH,cmr,4.62325,-11
Cantonese,Sino-Tibetan,YUH,cnt,7.73886,-7
Mizo,Sino-Tibetan,dLSH,miz,5.73443,-11
Chin (Tiddim),Sino-Tibetan,CTD,cti,5.53668,-6
Magahi,Indo-European,MQM,mgh,7.11394,0
Maru,Sino-Tibetan,MHX,mru,5.01494,-11
Tsou,Austronesian,TSY,tso,3.32777,-5
Chin (Siyin),Sino-Tibetan,CSY,chs,4,-9
Bengali,Indo-European,BNG,ben,8.23317,-3
Punu,Hmong-Mien,BUH/ ...,pnu,3.98749,-14
Hmar,Sino-Tibetan,HMR,hma,4.69897,-7
Seediq,Austronesian,TRV,see,3.67669,-8
Kokborok,Sino-Tibetan,TRP,kok,5.89818,-4
Santali,Austro-Asiatic,SNT,stl,6.78932,-4
Atayal,Austronesian,TAY,ata,4.92598,-6
Meithei,Sino-Tibetan,MNR,mei,6.10072,-8
Urdu,Indo-European,URD,urd,7.78178,-8
Hindi,Indo-European,HND,hin,8.25711,-10
Achang,Sino-Tibetan,ACN,acn,4.46847,0
Mulao,Tai-Kadai,MLM,mul,4.69897,-5
Mien,Hmong-Mien,IUM,mie,5.91312,-11
Naga (Zeme),Sino-Tibetan,NZM,nze,4.48855,-9
Jingpho,Sino-Tibetan,CGP,jng,5.97313,-14
Khasi,Austro-Asiatic,KHI,khs,5.93702,-14
Naga (Mao),Sino-Tibetan,NBI,nma,4.90849,-9
Garo,Sino-Tibetan,GRT,gar,5.83059,-7
Naga Pidgin,Creoles and Pidgins,NAG,npn,4.47712,0
Angami,Sino-Tibetan,NJM/ NRI,agm,5.03743,-7
Coptic,Afro-Asiatic,COP,cop,1.69897,-5
Arabic (Gulf),Afro-Asiatic,AFB,arg,6.36896,-3
Sindhi,Indo-European,SND,sdh,7.32964,-10
Bhojpuri,Indo-European,BHJ,bho,7.42476,-4
Maithili,Indo-European,MKP,mai,7.39441,-9
Sema,Sino-Tibetan,NSM,sem,5.12057,-5
Lisu,Sino-Tibetan,LIS,lis,5.85914,0
Hmong Daw,Hmong-Mien,MWW,hmd,5.71172,-6
Mikir,Sino-Tibetan,MJW,mik,5.67943,-5
Chang,Sino-Tibetan,NBC,chg,4.49136,-3
Lotha,Sino-Tibetan,NJH,lot,4.90309,-6
Ao,Sino-Tibetan,NJO,ao,5.14922,-2
Bodo,Sino-Tibetan,BRX,bod,5.78053,-3
Sherdukpen,Sino-Tibetan,SDP,shd,3.49136,0
Dong,Tai-Kadai,DOC/ KMC,don,6,-9
Limbu,Sino-Tibetan,LIF,lim,5.55827,-5
Lepcha,Sino-Tibetan,LEP,lep,4.87982,-13
Hayu,Sino-Tibetan,VAY,hay,3.2413,-6
Dumi,Sino-Tibetan,DUS,dmi,1.69897,-5
Thulung,Sino-Tibetan,TDH,thu,4.52261,-5
Yaqui,Uto-Aztecan,YAQ,yaq,4.215,-8
Tarahumara (Western),Uto-Aztecan,TAC,twe,4.17609,-7
Tarahumara (Central),Uto-Aztecan,TAR,tce,4.74036,-5
Khaling,Sino-Tibetan,KLR,khg,3.96792,-3
Kulung,Sino-Tibetan,KLE,klg,4.27152,-4
Nishi,Sino-Tibetan,DAP,nis,5.41664,-7
Apatani,Sino-Tibetan,APT,apt,4.36173,-3
Lungchang,Sino-Tibetan,dNST,lun,5.00169,0
Rawang,Sino-Tibetan,RAW,raw,5.08853,-10
Chepang,Sino-Tibetan,CDM,cpn,4.56593,-6
Newari (Kathmandu),Sino-Tibetan,dNEW,new,5.91669,-7
Guarijío,Uto-Aztecan,VAR,grj,3.69897,0
Sikkimese,Sino-Tibetan,SIP,skk,4.45637,-14
Baluchi,Indo-European,BGP/ ...,blc,6.25648,-4
Kusunda,Kusunda,KGG,kus,1.69897,0
Nepali,Indo-European,NEP,nep,7.23576,-3
Tamang,Sino-Tibetan,TAJ/ TGE/...,tam,5.88832,-6
Dulong,Sino-Tibetan,DUU,dul,4.05308,0
Hmong Njua,Hmong-Mien,BLU,hmo,6.11079,-16
Gallong,Sino-Tibetan,dADI,gal,5.04567,-3
Gurung,Sino-Tibetan,GGN/ GVR,gur,5.02119,-8
Sulung,Sino-Tibetan,SUV,slg,3.73584,0
Brahui,Dravidian,BRH,brh,6.34439,-5
Kham,Sino-Tibetan,KGJ/ ...,kmh,4,-3
Mising,Sino-Tibetan,MRG,msg,5.60206,-6
Nar-Phu,Sino-Tibetan,NPA,nph,2.72673,-3
Seri,Hokan,SEI,ser,2.90309,-3
Pima Bajo,Uto-Aztecan,PMB/PIA,pba,3,-2
Thakali,Sino-Tibetan,THS,thk,3.80895,-9
Berber (Siwa),Afro-Asiatic,SIZ,bsi,3.69897,-4
Idu,Sino-Tibetan,CLK,idu,4.04614,0
Atakapa,Atakapa,ALE,atk,1.69897,-5
Arabic (Egyptian),Afro-Asiatic,ARZ,aeg,7.66578,-7
Byansi,Sino-Tibetan,BEE,bya,3.65925,-4
Tonkawa,Tonkawa,TON,ton,1.69897,-2
Biloxi,Siouan,BLL,blx,1.69897,-3
Panjabi,Indo-European,PNJ,pan,7.44726,-7
Hebrew (Modern),Afro-Asiatic,HBR,heb,6.70372,-9
Arabic (Palestinian),Afro-Asiatic,AJP,apa,6.78852,-6
Persian,Indo-European,PES,prs,7.38589,-4
Nyamkad,Sino-Tibetan,TPQ,nyk,2.85914,0
Qiang,Sino-Tibetan,CNG/ QMR,qia,4.91009,-4
Choctaw,Muskogean,CCT,cct,3.96431,-3
Alabama,Muskogean,AKZ,abm,2,0
Tinani,Sino-Tibetan,LBF,tni,3.38917,0
Berber (Mzab),Afro-Asiatic,MZB,bmz,4.8451,0
Gahri,Sino-Tibetan,BFU,ghr,3.60206,0
Diegueño (Mesa Grande),Hokan,dDIH,die,2.46982,-8
Tunica,Tunica,TUK,tun,1.69897,-6
Gojri,Indo-European,GJU,goj,5.99665,0
Quechan,Hokan,YUM,que,2.17609,0
Berber (Middle Atlas),Afro-Asiatic,TZM,bma,6.49831,-6
Arabic (Iraqi),Afro-Asiatic,ACM,arq,7.17898,-3
Pashto,Indo-European,PST/...,psh,6.89887,-6
Maricopa,Hokan,MRC,mar,2.25768,-4
Apache (Chiricahua),Na-Dene,APM,apc,3.25527,0
Wichita,Caddoan,WIC,wic,1.69897,-5
Cahuilla,Uto-Aztecan,CHL,cah,1.69897,-5
Comanche,Uto-Aztecan,COM,cmn,2.30103,-7
Arabic (Moroccan),Afro-Asiatic,ARY,amr,7.2896,-7
Kashmiri,Indo-European,KSH,kas,6.6638,-12
Ladakhi,Sino-Tibetan,LBJ,lad,5.0569,-4
Mandarin,Sino-Tibetan,CHN,mnd,8.94102,-13
Torwali,Indo-European,TRW,trw,4.77815,0
Chemehuevi,Uto-Aztecan,dUTE,cmh,3.29754,-3
Serrano,Uto-Aztecan,SER,srr,1.69897,0
Berber (Rif),Afro-Asiatic,RIF,brf,6.23045,-3
Mojave,Hokan,MOV,moj,1.81291,0
Purki,Sino-Tibetan,BXR,prk,5.12057,-3
Koasati,Muskogean,CKU,koa,2.30103,-4
Acoma,Keresan,KJQ,aco,3.53033,-7
Tiwa (Southern),Kiowa-Tanoan,TIX,tws,3.21245,-6
Berber (Chaouia),Afro-Asiatic,SHY,bch,6.14613,0
Khalaj,Altaic,KLJ,khl,4.62435,-3
Savi,Indo-European,SDG,sav,3.47712,0
Kalasha,Indo-European,KLS,klh,3.70148,0
Balti,Sino-Tibetan,BFT,blt,5.52763,-4
Amdo,Sino-Tibetan,ADX,amd,5.90822,0
Salar,Altaic,SLR,slr,4.77815,0
Zuni,Zuni,ZUN,zun,3.98457,-11
Brokskat,Indo-European,BKK,bkt,3.47712,0
Hualapai,Hokan,dYUF,hlp,3.43024,-3
Cherokee,Iroquoian,CER,che,4.17609,-3
Kati (in Afghanistan),Indo-European,BSH,ktz,4.27184,-8
Prasuni,Indo-European,PRN,pra,3,0
Yuchi,Yuchi,YUC,yuc,1.69897,-2
Tewa (Arizona),Kiowa-Tanoan,TEW,tew,3.11327,0
Jemez,Kiowa-Tanoan,TOW,jem,3.11428,0
Maltese,Afro-Asiatic,MLS,mlt,5.57043,-6
Tuscarora,Iroquoian,TUS,tus,1.69897,-3
Khowar,Indo-European,KHW,khw,5.38382,0
Shina,Indo-European,SCL,sna,5.50651,-4
Mangghuer,Altaic,MJG,mgg,5.18184,-6
Navajo,Na-Dene,NAV,nav,5.17181,-4
Esselen,Esselen,ESQ,ess,1.69897,0
Wikchamni,Penutian,dYOK,wik,1.89209,-8
Mazanderani,Indo-European,MZN,mzn,6.51388,0
Wakhi,Indo-European,WBL,wak,4.50059,-4
Burushaski,Burushaski,BSK,bur,4.93976,-6
Costanoan,Penutian,CST/ CSS,cos,1.69897,0
Tümpisa Shoshone,Uto-Aztecan,PAR,tsh,1.69897,-4
Kiowa,Kiowa-Tanoan,KIO,kio,3.03822,-6
Osage,Siouan,OSA,osa,1.69897,-5
Japanese,Japanese,JPN,jpn,8.0879,-7
Gilaki,Indo-European,GLK,gil,6.51388,-5
Miwok (Southern Sierra),Penutian,SKD,mss,1.69897,-3
Korean,Korean,KKN,kor,7.8262,-6
Romani (Ajia Varvara),Indo-European,dRMN,rav,5.71925,-8
Kurmanji,Indo-European,KUR,kji,6.95969,-6
Neo-Aramaic (Persian Azerbaijan),Afro-Asiatic,TRG,nap,3.64128,0
Shira Yughur,Altaic,YUY,shy,3.47712,0
Rushan,Indo-European,dSGH,rsh,4.77815,0
Wappo,Wappo-Yukian,WAO,wap,1.69897,-5
Kashaya,Hokan,KJU,ksh,1.69897,0
Tajik,Indo-European,PET,taj,6.6415,-3
Pomo (Central),Hokan,POO,pmc,1.69897,0
Pomo (Southeastern),Hokan,PEO,pso,1.69897,-6
Portuguese,Indo-European,POR,por,8.24909,-6
Greek (Modern),Indo-European,GRK,grk,7.08844,-10
Turkish,Altaic,TRK,tur,7.70437,-4
Ordos,Altaic,dMVF,ord,6.52905,0
Pomo (Northern),Hokan,PEJ,pmn,1.69897,0
Kato,Na-Dene,KTW,kto,1.69897,0
Maidu (Northeast),Penutian,NMU,mne,1.69897,-2
Arapaho,Algic,ARP,aho,3.0162,0
Spanish,Indo-European,SPN,spa,8.50826,-11
Ladino,Indo-European,SPJ,lno,5.04139,0
Armenian (Eastern),Indo-European,dARM,arm,6.82762,-8
Mattole,Na-Dene,MVB,mtl,1.69897,0
Azerbaijani,Altaic,AZE/ AZB,aze,7.38675,-2
Wiyot,Algic,WIY,wiy,1.69897,-5
Chimariko,Hokan,CID,chi,1.69897,-3
Wintu,Penutian,WIT,win,1.69897,-5
Shoshone,Uto-Aztecan,SHH,sho,3.3587,0
Albanian,Indo-European,ALS,alb,6.44393,-8
Udi,Nakh-Daghestanian,UDI,udi,3.7574,-3
Hupa,Na-Dene,HUP,hup,1.69897,-3
Budukh,Nakh-Daghestanian,BDK,bdk,3,-5
Tat (Muslim),Indo-European,TTT,tmu,4.41497,0
Yurok,Algic,YUR,yur,1.69897,-7
Achumawi,Hokan,ACH,acm,1.69897,0
Munsee,Algic,UMU,mse,1.69897,-6
Laz,Kartvelian,LZZ,laz,4.51851,0
Rutul,Nakh-Daghestanian,RUT,rut,4.30343,-3
Karok,Karok,KYH,krk,1.69897,-10
Macedonian,Indo-European,MKJ,mcd,6.20364,-11
Tsakhur,Nakh-Daghestanian,TKR,tsa,4.30261,-4
Lezgian,Nakh-Daghestanian,LEZ,lez,5.65428,-7
Catalan,Indo-European,CLN,ctl,6.82395,-7
Aghul,Nakh-Daghestanian,AGX,agl,4.24067,-4
Tabassaran,Nakh-Daghestanian,TAB,tbs,4.98184,0
Paiute (Northern),Uto-Aztecan,PAO,pno,3.21245,-7
Georgian,Kartvelian,GEO,geo,6.62103,-6
Archi,Nakh-Daghestanian,ARC,arc,3,-3
Bezhta,Nakh-Daghestanian,KAP,bez,3.47712,-5
Hunzib,Nakh-Daghestanian,HUZ,hzb,3.30103,-6
Lak,Nakh-Daghestanian,LBE,lak,5.07741,-13
Kickapoo,Algic,KIC,kic,2.92376,0
Tsez,Nakh-Daghestanian,DDO,tsz,3.8451,-4
Dargwa,Nakh-Daghestanian,DAR,drg,5.56994,-4
Takelma,Takelma,TKM,tkl,1.69897,-2
Klamath,Penutian,KLA,klm,1.69897,-3
Seneca,Iroquoian,SEE,snc,2.24304,-4
Bulgarian,Indo-European,BLG,bul,6.95206,-6
Mingrelian,Kartvelian,XMF,mgl,5.69897,0
Tsova-Tush,Nakh-Daghestanian,BBL,ttu,3.53403,-3
Avar,Nakh-Daghestanian,AVR,ava,5.77884,-5
Chamalal,Nakh-Daghestanian,CJI,chm,3.69897,0
Bagvalal,Nakh-Daghestanian,KVA,bgv,3.30103,-4
Karata,Nakh-Daghestanian,KPT,krt,3.69897,0
Godoberi,Nakh-Daghestanian,GDO,god,3.47712,-8
Fox,Algic,SAC,fox,2.30103,0
Oneida,Iroquoian,ONE,ond,2.39794,-4
Galician,Indo-European,GLN,glc,6.50357,0
Basque,Basque,BSQ,bsq,5.76946,-6
Italian,Indo-European,ITN,ita,7.7888,-9
Svan,Kartvelian,SVA,sva,4.17609,-6
Ossetic,Indo-European,OSE,oss,5.72136,-8
Kumyk,Altaic,KSK,kuq,5.4511,-4
Ainu,Ainu,AIN,ain,1.69897,-6
Abkhaz,Northwest Caucasian,ABK,abk,5.02511,-4
Ingush,Nakh-Daghestanian,INH,ing,5.36232,-9
Chechen,Nakh-Daghestanian,CJC,chc,5.98028,-5
Coos (Hanis),Oregon Coast,COS,coo,1.69897,-4
Cheyenne,Algic,CHY,cyn,3.23578,-4
Kabardian,Northwest Caucasian,KAB,kab,6.00518,-2
Lakhota,Siouan,LKT,lkt,3.77815,-8
Siuslaw,Oregon Coast,SIS,siu,1.69897,-3
Occitan,Indo-European,LNC/...,occ,3.69897,0
Abaza,Northwest Caucasian,ABQ,abz,4.6522,-5
Noghay,Altaic,NOG,nog,4.83127,-3
Kalmyk,Altaic,dKGZ,kmk,5.71475,-6
Wyandot,Iroquoian,WYA,wya,1.69897,0
Potawatomi,Algic,POT,pot,1.69897,0
Alsea,Oregon Coast,AES,als,1.69897,0
Passamaquoddy-Maliseet,Algic,MAC,psm,3.2188,-5
Romani (Kalderash),Indo-European,dRMY,rka,6.17547,-7
Crimean Tatar,Altaic,CRH,cri,5.65929,-4
Adyghe (Abzakh),Northwest Caucasian,dADY,ady,5.69826,0
Tillamook,Salishan,TIL,til,1.69897,-6
Arikara,Caddoan,ARI,akr,1.69897,0
Sahaptin (Umatilla),Penutian,UMA,smt,1.69897,0
Nez Perce,Penutian,NEZ,nez,2,-4
Ojibwa (Eastern),Algic,OJG,oji,4.41305,-4
Slovene,Indo-European,SLV,slo,6.29771,-9
Romanian,Indo-European,RUM,rom,7.37104,-8
Chinook (Lower),Penutian,dCHH,ckl,1.69897,-6
Gagauz,Altaic,GAG,gag,5.17609,0
Chehalis (Upper),Salishan,CJH,chl,1.69897,0
Romansch (Sursilvan),Indo-European,dRHE,rsu,4.60206,0
Crow,Siouan,CRO,cro,3.63144,0
Hungarian,Uralic,HNG,hun,7.13391,-7
Khalkha,Altaic,KHK,kha,6.36868,-7
Jurchen,Altaic,JUC,jur,1.69897,0
Coeur d'Alene,Salishan,CRD,coe,1.69897,-4
Udihe,Altaic,UDE,udh,2,-6
Quileute,Chimakuan,QUI,qui,1.69897,-5
Kalispel,Salishan,FLA,kls,2.30103,-4
Breton,Indo-European,BRT,bre,5.7265,-5
French,Indo-European,FRN,fre,7.81197,-11
Dagur,Altaic,DTA,dgr,4.98266,-7
Makah,Wakashan,MYH,mak,1.69897,-8
Ukrainian,Indo-European,UKR,ukr,7.59596,-5
Okanagan,Salishan,OKA,oka,2.70927,0
Kutenai,Kutenai,KUN,kut,1.69897,-6
Nanai,Altaic,GLD,nai,3.76133,0
Nuuchahnulth,Wakashan,NOO,nuu,2.30103,0
Squamish,Salishan,SQU,squ,1.69897,-6
Blackfoot,Algic,BLC,bla,3.70757,-3
Czech,Indo-European,CZC,cze,7.06164,-5
Kazakh,Altaic,KAZ,kaz,6.91269,-8
Comox,Salishan,COO,cmx,2.60206,-4
Cornish,Indo-European,CRN,crn,2.69897,-3
Oroch,Altaic,OAC,orc,2,0
Lillooet,Salishan,LIL,lil,2.30103,0
Kwakw'ala,Wakashan,KWK,kwk,2.37107,0
Cree (Eastern),Algic,CRL/ CRE,cea,3.86368,0
Altai (Southern),Altaic,ALT,aso,4.30103,-10
Sorbian,Indo-European,WEE/ WEN,srb,4.17609,0
Shuswap,Salishan,SHS,shu,2.69897,-5
Montagnais,Algic,MOE,mtg,3.92855,-4
Welsh,Indo-European,WLS,wel,5.72937,-2
English,Indo-European,ENG,eng,8.49045,-13
German,Indo-European,GER,ger,7.97952,-12
Polish,Indo-European,PQL,pol,7.63051,-8
Tuvan,Altaic,TUN,tuv,5.32098,-10
Buriat,Altaic,BXM / ...,but,4.81224,-2
Tsimshian (Coast),Penutian,dTSI,tsi,2.90309,-2
Sarcee,Na-Dene,SRS,src,1.69897,-3
Dutch,Indo-European,DUT,dut,7.23982,-9
Haida,Haida,HAI/ HAX,hai,1.69897,-7
Irish,Indo-European,GLI,iri,5.55023,-10
Frisian,Indo-European,FRS/...,fri,4.04139,-4
Bashkir,Altaic,BXK,bsk,6.27216,-6
Shor,Altaic,CJS,shr,3.97525,-10
Khakas,Altaic,KJH,khk,4.81164,-7
Nivkh,Nivkh,NIV,niv,3.03703,-8
Tofa,Altaic,KIM,tof,1.69897,0
Cree (Plains),Algic,CRP,cre,4.53275,-6
Manx,Indo-European,MJD,mnx,1.69897,0
Karaim,Altaic,KDR,krm,1.69897,-5
Nisgha,Penutian,NCG,nsg,2.8451,-11
Lithuanian,Indo-European,LIT,lit,6.49489,-7
Gitksan,Penutian,GIT,git,2.60206,0
Chuvash,Altaic,CJU,chv,6.26349,-5
Danish,Indo-European,DNS,dsh,6.72426,-12
Russian,Indo-European,RUS,rus,8.16146,-10
Tatar,Altaic,TTR,tvo,6.20683,-5
Evenki,Altaic,EVN,eve,4.4624,-3
Latvian,Indo-European,LAT,lat,6.1886,-12
Mari (Meadow),Uralic,MAL,mme,5.728,-7
Itelmen,Chukotko-Kamchatkan,ITL,ite,1.77815,-6
Udmurt,Uralic,UDM,udm,5.75265,-6
Tlingit,Na-Dene,TLI,tli,2.92686,-3
Estonian,Uralic,EST,est,6.03161,-6
Yup'ik (Central),Eskimo-Aleut,ESU,ypk,4,-3
Votic,Uralic,VOD,vot,1.69897,-4
Komi-Permyak,Uralic,KOI,kop,5.06446,-3
Swedish,Indo-European,SWD,swe,6.94398,-10
Alutor,Chukotko-Kamchatkan,ALR,alu,2,-8
Koryak,Chukotko-Kamchatkan,KPY,kry,3.54407,-8
Inuktitut (Salluit),Eskimo-Aleut,dESB,ins,4.14613,-4
Finnish,Uralic,FIN,fin,6.71873,-9
Komi-Zyrian,Uralic,KPV,kzy,5.41863,-4
Mansi,Uralic,MNS,mns,3.50297,-4
Yakut,Altaic,UKT,ykt,5.55991,-5
Kerek,Chukotko-Kamchatkan,KRK,krq,1.69897,0
Inuktitut (Rankin Inlet),Eskimo-Aleut,dESC,inr,3.60206,0
Greenlandic (West),Eskimo-Aleut,dESG,grw,4.73878,-7
Ket,Yeniseian,KET,ket,2.74036,-8
Yupik (Siberian),Eskimo-Aleut,ESS/...,yus,3.13033,0
Koyukon,Na-Dene,KOY,kyn,2.47712,0
Icelandic,Indo-European,ICE,ice,5.37979,-9
Khanty,Uralic,KCA,kty,4.07918,-6
Yukaghir (Kolyma),Yukaghir,YUX,yko,1.69897,-9
Chukchi,Chukotko-Kamchatkan,CKT,chk,4,-11
Slave,Na-Dene,SCS/SLA,sla,3.14922,-5
Even,Altaic,EVE,evn,3.87754,-8
Saami (Northern),Uralic,LPR,sno,4.32222,-8
Nenets,Uralic,YRK,nen,4.427,-9
Nganasan,Uralic,NIO,nga,2.69897,-7
